title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Blood Lad,21614,Manga,85.0,17.0,Finished,"['Action', 'Comedy', 'Supernatural']",7.6,1976.0,"['Kodama, Yuuki']",Young Ace
Boku Girl,63781,Manga,107.0,11.0,Finished,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",7.45,2850.0,"['Sugito, Akira']",Young Jump
"Boku no Namae wa ""Shounen A""",110619,Manga,32.0,4.0,Finished,['Drama'],6.61,11824.0,"['Hioka, Yen', 'Kimizuka, Chikara']",Gangan Online
Bokura no Sentaku,110360,Manga,16.0,3.0,Finished,"['Action', 'Supernatural']",6.52,12894.0,"['Sazanami, Misa']",Comic Gene
Chikyuu no Houkago,71363,Manga,36.0,6.0,Finished,"['Mystery', 'Sci-Fi', 'Slice of Life', 'Ecchi']",7.22,4928.0,"['Yoshitomi, Akihito']",Champion RED
Cinderella wa Sagasanai.,127775,Manga,,,Publishing,"['Comedy', 'Drama', 'Romance']",7.21,5037.0,"['Kuro', 'Tendou, Gen']",Magazine pocket
Danganronpa Gaiden: Killer Killer,97327,Manga,14.0,3.0,Finished,['Mystery'],6.9,8736.0,"['Kodaka, Kazutaka', 'Sasako, Mitomo']",Bessatsu Shounen Magazine
Deadman Wonderland,3986,Manga,58.0,13.0,Finished,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Supernatural']",7.99,708.0,"['Kondou, Kazuma', 'Kataoka, Jinsei']",Shounen Ace
Death Note,21,Manga,108.0,12.0,Finished,"['Supernatural', 'Suspense']",8.71,49.0,"['Obata, Takeshi', 'Ohba, Tsugumi']",Shounen Jump (Weekly)
Dekisokonai no Himegimi-tachi,114788,Manga,40.0,6.0,Finished,"['Drama', 'Girls Love']",7.44,2975.0,['Ajiichi'],Manga Life STORIA Dash
Fuuka,67019,Manga,204.0,20.0,Finished,"['Drama', 'Romance', 'Ecchi']",7.44,2961.0,"['Seo, Kouji']",Shounen Magazine (Weekly)
Gakkougurashi!,55163,Manga,78.0,12.0,Finished,"['Horror', 'Mystery', 'Slice of Life']",8.06,596.0,"['Kaihou, Norimitsu', 'Chiba, Sadoru']",Manga Time Kirara Forward
Gigant,110727,Manga,89.0,10.0,Finished,"['Drama', 'Romance', 'Sci-Fi']",5.85,15256.0,"['Oku, Hiroya']",Big Comic Superior
Giji Harem,116808,Manga,157.0,6.0,Finished,"['Comedy', 'Romance', 'Slice of Life']",7.81,1123.0,"['Saitou, Yuu']",Gessan
Gun x Clover,39281,Manga,60.0,12.0,Finished,"['Action', 'Comedy', 'Romance', 'Ecchi']",7.39,3383.0,"['D.P', 'Yamaguchi, Mikoto']",Dragon Age
Handa-kun,60801,Manga,34.0,7.0,Finished,"['Comedy', 'Slice of Life']",7.64,1802.0,"['Yoshino, Satsuki']",Shounen Gangan
Hatsukoi Zombie,93640,Manga,167.0,17.0,Finished,"['Comedy', 'Supernatural', 'Ecchi']",7.5,2522.0,"['Minenami, Ryou']",Shounen Sunday
Helck,77637,Manga,111.0,12.0,Finished,"['Action', 'Fantasy']",8.2,396.0,"['Nanao, Nanaki']",Ura Sunday
He~nshin!!: Sonata Birdie Rush,18263,Manga,28.0,5.0,Finished,"['Sports', 'Ecchi']",6.63,11890.0,"['Minazuki, Suu']",Young Jump (Monthly)
Himegoto: Juukyuusai no Seifuku,43415,Manga,100.0,8.0,Finished,"['Drama', 'Romance']",7.53,2366.0,"['Minenami, Ryou']",Mobile Man
Horimiya,42451,Manga,125.0,16.0,Finished,"['Comedy', 'Romance', 'Slice of Life']",8.45,150.0,"['Hagiwara, Daisuke', 'HERO']",GFantasy
Hunter x Hunter,26,Manga,390.0,36.0,On Hiatus,"['Action', 'Adventure', 'Fantasy']",8.69,52.0,"['Togashi, Yoshihiro']",Shounen Jump (Weekly)
Hyakunichikan!!,93562,Manga,54.0,4.0,Finished,"['Comedy', 'Slice of Life']",7.63,1806.0,"['Nata, Kokone']",Tonari no Young Jump
I Don't Want This Kind of Hero,47072,Manhwa,301.0,,Finished,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']",7.56,2186.0,['Samchon'],Naver Webtoon
